0.47358237,0.47522900,0.47102592,0.47391746
0.04025668,0.13954200,0.03017775,0.49007013
0.46431558,0.50025964,0.46490944,0.45736287
0.12249467,0.04099874,0.42678040,0.46839478
0.61124211,0.11576972,0.00120297,0.46947406
0.00000000,0.00000000,0.00000000,0.00000000
0.48725700,0.05505253,0.48955772,0.04240137
0.00000000,0.00000000,0.00000000,0.00000000
0.64943425,0.70474889,0.21926659,0.73862632
0.20779885,0.81316365,0.78279182,0.65963722
0.63726028,0.21851526,0.84350372,0.76791621
0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000
0.73585772,0.18054940,0.79507196,0.61535918
0.84543933,0.83576289,0.79804999,0.95252446
0.00000000,0.00000000,0.00000000,0.00000000
